,Contaminante,Fecha,aqip_median,cdmx_median
4398,PM10,2019-10-27,33.48,29.66666666666667
4399,PM10,2019-11-26,49.68,49.375
4400,PM10,2019-12-05,55.0,58.5
4401,PM10,2019-12-13,45.36,51.930555555555564
4402,PM10,2019-10-08,14.04,14.352941176470587
4403,PM10,2019-10-22,25.92,24.125
4404,PM10,2019-11-08,27.0,28.20833333333333
4405,PM10,2019-11-13,21.6,26.418478260869566
4406,PM10,2019-12-17,52.92,55.625
4407,PM10,2019-12-22,44.28,45.875
4408,PM10,2020-01-03,28.08,34.008169934640534
4409,PM10,2020-01-03,28.08,34.008169934640534
4410,PM10,2019-10-14,30.24,33.541666666666664
4411,PM10,2019-10-31,22.68,22.88257575757576
4412,PM10,2019-11-03,15.12,21.201754385964914
4413,PM10,2019-11-30,47.52,53.22554347826088
4414,PM10,2019-12-01,43.2,41.66403162055336
4415,PM10,2019-11-25,49.68,50.20833333333334
4416,PM10,2019-12-07,48.6,46.97916666666666
4417,PM10,2020-01-02,21.6,20.52380952380953
4418,PM10,2020-01-02,21.6,20.52380952380953
4419,PM10,2019-10-24,28.08,29.73863636363637
4420,PM10,2019-10-25,32.4,32.75
4421,PM10,2019-10-29,33.48,34.05797101449275
4422,PM10,2019-10-30,33.48,31.58712121212121
4423,PM10,2019-11-12,30.24,30.0625
4424,PM10,2019-11-22,49.68,53.80434782608695
4425,PM10,2019-12-12,48.6,55.46829710144928
4426,PM10,2020-01-01,35.64,53.56521739130435
4427,PM10,2020-01-01,35.64,53.56521739130435
4428,PM10,2019-11-15,32.4,34.875
4429,PM10,2019-12-19,75.20408163265307,78.04166666666667
4430,PM10,2019-11-06,29.16,29.16666666666667
4431,PM10,2019-11-23,48.6,44.875
4432,PM10,2019-12-02,38.88,45.25
4433,PM10,2019-12-03,44.28,47.14166666666667
4434,PM10,2019-12-11,52.92,56.39583333333333
4435,PM10,2019-12-15,57.020408163265316,60.5
4436,PM10,2019-12-23,55.0,59.40307971014494
4437,PM10,2019-10-21,20.52,26.333333333333336
4438,PM10,2019-10-28,41.04,38.625
4439,PM10,2019-11-27,52.92,56.98188405797102
4440,PM10,2019-12-10,57.020408163265316,63.87500000000001
4441,PM10,2019-12-24,41.04,40.708333333333336
4442,PM10,2019-12-14,54.0,55.45833333333333
4443,PM10,2019-12-20,75.20408163265307,74.04166666666667
4444,PM10,2019-10-10,28.08,31.25
4445,PM10,2019-10-15,35.64,36.583333333333336
4446,PM10,2019-10-16,24.84,24.947368421052627
4447,PM10,2019-10-20,15.12,16.23504273504274
4448,PM10,2019-11-05,32.4,34.43478260869565
4449,PM10,2019-10-23,23.76,24.709239130434785
4450,PM10,2019-12-09,54.0,64.84539473684211
4451,PM10,2019-12-26,45.36,45.04166666666666
4452,PM10,2019-12-27,59.04081632653061,57.40942028985506
4453,PM25,2020-01-10,16.855102040816327,18.1875
4454,PM25,2020-01-25,14.953061224489794,17.291666666666668
4455,PM25,2020-01-31,9.12,9.757675438596491
4456,PM25,2020-01-14,16.855102040816327,21.10766045548655
4457,PM25,2020-01-15,18.757142857142856,22.875
4458,PM25,2020-04-18,34.92448979591836,32.708333333333336
4459,PM25,2020-01-20,12.0,11.238888888888885
4460,PM25,2020-02-23,22.085714285714282,24.49728260869565
4461,PM25,2020-02-25,12.0,12.729166666666668
4462,PM25,2020-04-14,28.26734693877551,27.47916666666667
4463,PM25,2020-04-15,35.906122448979595,34.94642857142857
4464,PM25,2020-02-29,20.183673469387763,23.82608695652174
4465,PM25,2020-03-05,22.085714285714282,23.583333333333336
4466,PM25,2020-03-19,20.183673469387763,19.916666666666668
4467,PM25,2020-02-04,7.2,7.270833333333332
4468,PM25,2020-04-09,24.938775510204078,25.125
4469,PM25,2020-04-22,24.938775510204078,21.375
4470,PM25,2020-01-28,9.6,11.17559523809524
4471,PM25,2020-03-06,31.120408163265303,32.70833333333333
4472,PM25,2020-04-24,30.16938775510204,28.08333333333333
4473,PM25,2020-04-30,13.051020408163266,12.212885154061622
4474,PM25,2020-03-22,17.80612244897959,18.33333333333333
4475,PM25,2020-04-02,26.365306122448978,26.0
4476,PM25,2020-01-19,4.08,9.589244851258579
4477,PM25,2020-02-09,15.90408163265306,17.0625
4478,PM25,2020-02-19,23.98775510204081,24.95833333333333
4479,PM25,2020-01-13,21.13469387755102,23.29166666666667
4480,PM25,2020-02-08,14.953061224489794,17.541666666666664
4481,PM25,2020-03-01,23.03673469387755,24.229166666666664
4482,PM25,2020-03-07,32.07142857142857,35.8
4483,PM25,2020-02-05,6.0,5.7
4484,PM25,2020-03-16,16.855102040816327,16.636363636363637
4485,PM25,2020-04-04,20.183673469387763,19.73913043478261
4486,PM25,2020-04-06,21.13469387755102,21.5
4487,PM25,2020-04-07,21.13469387755102,21.45833333333333
4488,PM25,2020-04-28,18.757142857142856,17.229166666666664
4489,PM25,2020-01-18,4.08,22.16213768115942
4490,PM25,2020-02-02,22.085714285714282,21.91666666666667
4491,PM25,2020-02-28,21.13469387755102,21.035714285714285
4492,PM25,2020-03-23,16.855102040816327,17.208333333333332
4493,PM25,2020-04-05,17.80612244897959,17.708333333333332
4494,PM25,2020-04-16,31.120408163265303,30.105978260869566
4495,PM25,2020-04-17,32.07142857142857,31.708333333333336
4496,PM25,2020-01-22,26.84081632653061,27.5
4497,PM25,2020-02-06,6.0,10.075250836120404
4498,PM25,2020-02-16,18.757142857142856,16.659038901601832
4499,PM25,2020-03-10,23.03673469387755,25.52380952380952
4500,PM25,2020-03-13,18.757142857142856,17.875
4501,PM25,2020-03-27,21.13469387755102,21.020833333333336
4502,PM25,2020-03-08,23.98775510204081,22.625
4503,PM25,2020-03-26,25.88979591836735,26.54166666666667
4504,PM25,2020-02-11,22.085714285714282,22.73460144927536
4505,PM25,2020-02-15,12.1,28.3125
4506,PM25,2020-04-19,39.967346938775506,38.708333333333336
4507,PM25,2020-04-27,13.051020408163266,12.506340579710145
4508,PM25,2020-03-15,18.757142857142856,18.041666666666668
4509,PM25,2020-04-11,24.938775510204078,23.0
4510,PM25,2020-04-29,18.757142857142856,17.479166666666664
4511,PM25,2020-01-21,18.757142857142856,23.0625
4512,PM25,2020-01-30,7.2,7.4375
4513,PM25,2020-02-03,10.08,11.208333333333336
4514,PM25,2020-03-03,13.051020408163266,14.957427536231885
4515,PM25,2020-03-21,23.98775510204081,23.625
4516,PM25,2020-04-20,30.16938775510204,29.86309523809524
4517,PM25,2020-04-03,22.085714285714282,19.625
4518,PM25,2020-02-10,16.855102040816327,19.41123188405797
4519,PM25,2020-02-20,24.938775510204078,28.0
4520,PM25,2020-04-10,23.03673469387755,22.608695652173914
4521,PM25,2020-01-17,14.953061224489794,15.12409420289855
4522,PM25,2020-01-23,16.855102040816327,17.958333333333332
4523,PM25,2020-01-16,23.03673469387755,25.33333333333333
