date, pm25, pm10, o3, so2, co
2018/4/1, 15, 67, , , 2
2017/10/2, 12, 37, , , 
2017/10/3, 14, 18, , , 
2017/10/4, 7, 14, , , 
2017/10/5, 7, 16, , , 
2017/10/6, 8, 35, , , 
2017/10/7, 17, 56, , , 
2017/10/8, 17, 39, , , 
2017/10/9, 14, 59, , , 1
2017/10/10, 18, 34, , , 
2017/10/11, 9, 26, , , 
2017/10/12, 9, 47, , , 
2017/10/13, 16, 33, , , 
2017/10/14, 12, 19, , , 
2017/10/15, 6, 29, , , 
2017/10/16, 12, 26, , , 
2017/10/17, 7, 38, , , 
2017/10/18, 12, 31, , , 
2017/10/19, 10, 49, , , 
2017/10/20, 13, 58, , , 1
2017/10/21, 21, 62, , , 1
2017/10/22, 24, 61, , , 1
2017/10/23, 22, 28, , , 
2017/10/24, 11, 29, , , 
2017/10/25, 11, 37, , , 
2017/10/26, 11, 49, , , 1
2017/10/27, 12, 88, , , 
2017/10/28, 10, 43, , , 
2017/10/29, 7, 41, , , 
2017/10/30, 9, 58, , , 1
2017/10/31, 13, 59, , , 1
2017/11/1, 15, 79, , , 1
2017/11/2, 27, 84, , , 1
2017/11/3, 25, 88, , , 1
2017/11/4, 34, 93, , , 1
2017/11/5, 44, 85, , , 1
2017/11/6, 36, 71, , , 1
2017/11/7, 17, 80, , , 1
2017/11/8, 25, 55, , , 1
2017/11/9, 19, 40, , , 1
2017/11/10, 13, 31, , , 1
2017/11/11, 11, 32, , , 1
2017/11/12, 16, 43, , , 1
2017/11/13, 22, 43, , , 1
2017/11/14, 12, 31, , , 1
2017/11/15, 9, 62, , , 1
2017/11/16, 17, 68, , , 1
2017/11/17, 19, 45, , , 1
2017/11/18, 16, 78, , , 1
2017/11/19, 15, 37, , , 
2017/11/20, 5, 30, , , 1
2017/11/21, 9, 44, , , 1
2017/11/22, 9, 46, , , 1
2017/11/23, 8, 52, , , 1
2017/11/24, 11, 60, , , 1
2017/11/25, 12, 64, , , 1
2017/11/26, 13, 49, , , 1
2017/11/27, 10, 43, , , 1
2017/11/28, 10, 78, , , 1
2017/11/29, 24, 88, , , 1
2017/11/30, 14, 54, , , 1
2017/12/1, 15, 37, , , 1
2017/12/2, 11, , , , 
2017/12/7, 4, 18, , , 1
2017/12/8, 4, 23, , , 1
2017/12/9, 4, 31, , , 1
2017/12/10, 6, 45, , , 1
2017/12/11, 17, 62, , , 1
