_id,date,validoorig,city,state,valororig,parametro,estacionesid,id,hora,fecha
5ccceac8e2705c19323446c1,2018-01-06T22:00:00.000Z,1,Guadalajara,Jalisco,82.074,PM10,101,101PM1018010622,22,2018-01-06
5ccceac8e2705c19323446c2,2018-01-06T23:00:00.000Z,1,Guadalajara,Jalisco,69.042,PM10,101,101PM1018010623,23,2018-01-06
5ccceac8e2705c19323446c3,2018-01-07T00:00:00.000Z,1,Guadalajara,Jalisco,63.754,PM10,101,101PM1018010700,0,2018-01-07
5ccceac8e2705c19323446c4,2018-01-07T01:00:00.000Z,1,Guadalajara,Jalisco,57.033,PM10,101,101PM1018010701,1,2018-01-07
5ccceac8e2705c19323446c5,2018-01-07T02:00:00.000Z,1,Guadalajara,Jalisco,48.319,PM10,101,101PM1018010702,2,2018-01-07
5ccceac8e2705c19323446c6,2018-01-07T03:00:00.000Z,1,Guadalajara,Jalisco,40.179,PM10,101,101PM1018010703,3,2018-01-07
5ccceac8e2705c19323446c7,2018-01-07T04:00:00.000Z,1,Guadalajara,Jalisco,35.483,PM10,101,101PM1018010704,4,2018-01-07
5ccceac8e2705c19323446c8,2018-01-07T05:00:00.000Z,1,Guadalajara,Jalisco,38.492,PM10,101,101PM1018010705,5,2018-01-07
5ccceac8e2705c19323446c9,2018-01-07T06:00:00.000Z,1,Guadalajara,Jalisco,55.277,PM10,101,101PM1018010706,6,2018-01-07
5ccceac8e2705c19323446ca,2018-01-07T07:00:00.000Z,1,Guadalajara,Jalisco,39.081,PM10,101,101PM1018010707,7,2018-01-07
5ccceac8e2705c19323446cb,2018-01-07T08:00:00.000Z,1,Guadalajara,Jalisco,24.565,PM10,101,101PM1018010708,8,2018-01-07
5ccceac8e2705c19323446cc,2018-01-07T09:00:00.000Z,1,Guadalajara,Jalisco,49.49,PM10,101,101PM1018010709,9,2018-01-07
5ccceac8e2705c19323446cd,2018-01-07T10:00:00.000Z,1,Guadalajara,Jalisco,76.475,PM10,101,101PM1018010710,10,2018-01-07
5ccceac8e2705c19323446ce,2018-01-07T11:00:00.000Z,1,Guadalajara,Jalisco,74.476,PM10,101,101PM1018010711,11,2018-01-07
5ccceac8e2705c19323446cf,2018-01-07T12:00:00.000Z,1,Guadalajara,Jalisco,39.762,PM10,101,101PM1018010712,12,2018-01-07
5ccceac8e2705c19323446d0,2018-01-07T13:00:00.000Z,1,Guadalajara,Jalisco,36.744,PM10,101,101PM1018010713,13,2018-01-07
5ccceac8e2705c19323446d1,2018-01-07T14:00:00.000Z,1,Guadalajara,Jalisco,34.672,PM10,101,101PM1018010714,14,2018-01-07
5ccceac8e2705c19323446d2,2018-01-07T15:00:00.000Z,1,Guadalajara,Jalisco,25.126,PM10,101,101PM1018010715,15,2018-01-07
5ccceac8e2705c19323446d3,2018-01-07T16:00:00.000Z,1,Guadalajara,Jalisco,18.408,PM10,101,101PM1018010716,16,2018-01-07
5ccceac8e2705c19323446d4,2018-01-07T17:00:00.000Z,1,Guadalajara,Jalisco,20.346,PM10,101,101PM1018010717,17,2018-01-07
5ccceac8e2705c19323446d5,2018-01-07T18:00:00.000Z,1,Guadalajara,Jalisco,29.823,PM10,101,101PM1018010718,18,2018-01-07
5ccceac8e2705c19323446d6,2018-01-07T19:00:00.000Z,1,Guadalajara,Jalisco,46.762,PM10,101,101PM1018010719,19,2018-01-07
5ccceac8e2705c19323446d7,2018-01-07T20:00:00.000Z,1,Guadalajara,Jalisco,67.093,PM10,101,101PM1018010720,20,2018-01-07
5ccceac8e2705c19323446d8,2018-01-07T21:00:00.000Z,1,Guadalajara,Jalisco,66.41,PM10,101,101PM1018010721,21,2018-01-07
5ccceac8e2705c19323446d9,2018-01-07T22:00:00.000Z,1,Guadalajara,Jalisco,51.894,PM10,101,101PM1018010722,22,2018-01-07
5ccceac8e2705c19323446da,2018-01-07T23:00:00.000Z,1,Guadalajara,Jalisco,32.595,PM10,101,101PM1018010723,23,2018-01-07
5ccceac8e2705c19323446db,2018-01-08T00:00:00.000Z,1,Guadalajara,Jalisco,15.913,PM10,101,101PM1018010800,0,2018-01-08
5ccceac8e2705c19323446dc,2018-01-08T01:00:00.000Z,1,Guadalajara,Jalisco,18.45,PM10,101,101PM1018010801,1,2018-01-08
5ccceac8e2705c19323446dd,2018-01-08T02:00:00.000Z,1,Guadalajara,Jalisco,24.16,PM10,101,101PM1018010802,2,2018-01-08
5ccceac8e2705c19323446de,2018-01-08T03:00:00.000Z,1,Guadalajara,Jalisco,18.667,PM10,101,101PM1018010803,3,2018-01-08
5ccceac8e2705c19323446df,2018-01-08T04:00:00.000Z,1,Guadalajara,Jalisco,14.324,PM10,101,101PM1018010804,4,2018-01-08
5ccceac8e2705c19323446e0,2018-01-08T05:00:00.000Z,1,Guadalajara,Jalisco,17.879,PM10,101,101PM1018010805,5,2018-01-08
5ccceac8e2705c19323446e1,2018-01-08T06:00:00.000Z,1,Guadalajara,Jalisco,24.12,PM10,101,101PM1018010806,6,2018-01-08
5ccceac8e2705c19323446e2,2018-01-08T07:00:00.000Z,1,Guadalajara,Jalisco,42.391,PM10,101,101PM1018010807,7,2018-01-08
5ccceac8e2705c19323446e3,2018-01-08T08:00:00.000Z,1,Guadalajara,Jalisco,42.209,PM10,101,101PM1018010808,8,2018-01-08
5ccceac8e2705c19323446e4,2018-01-08T09:00:00.000Z,1,Guadalajara,Jalisco,76.515,PM10,101,101PM1018010809,9,2018-01-08
5ccceac8e2705c19323446e5,2018-01-08T10:00:00.000Z,1,Guadalajara,Jalisco,87.255,PM10,101,101PM1018010810,10,2018-01-08
5ccceac8e2705c19323446e6,2018-01-08T11:00:00.000Z,1,Guadalajara,Jalisco,68.16,PM10,101,101PM1018010811,11,2018-01-08
5ccceac8e2705c19323446e7,2018-01-08T12:00:00.000Z,1,Guadalajara,Jalisco,45.793,PM10,101,101PM1018010812,12,2018-01-08
5ccceac8e2705c19323446e8,2018-01-08T13:00:00.000Z,1,Guadalajara,Jalisco,22.192,PM10,101,101PM1018010813,13,2018-01-08
5ccceac8e2705c19323446e9,2018-01-08T14:00:00.000Z,1,Guadalajara,Jalisco,19.945,PM10,101,101PM1018010814,14,2018-01-08
5ccceac8e2705c19323446ea,2018-01-08T15:00:00.000Z,1,Guadalajara,Jalisco,15.976,PM10,101,101PM1018010815,15,2018-01-08
